symbol,company_name,exchange_suffix,yahoo_ticker,status,notes
ABB,ABB India Ltd,.NS,ABB.NS,active,
ADANIENSOL,Adani Green Energy Ltd,.NS,ADANIENSOL.NS,active,
ADANIENT,Adani Enterprises Ltd,.NS,ADANIENT.NS,active,
ADANIGREEN,Adani Green Energy Ltd,.NS,ADANIGREEN.NS,active,
ADANIPORTS,Adani Ports and SEZ Ltd,.NS,ADANIPORTS.NS,active,
ADANIPOWER,Adani Power Ltd,.NS,ADANIPOWER.NS,active,
AMBUJACEM,Ambuja Cements Ltd,.NS,AMBUJACEM.NS,active,
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,.NS,APOLLOHOSP.NS,active,
ASIANPAINT,Asian Paints Ltd,.NS,ASIANPAINT.NS,active,
ATGL,Adani Total Gas Ltd,.NS,ATGL.NS,active,
AXISBANK,Axis Bank Ltd,.NS,AXISBANK.NS,active,
BAJAJ-AUTO,Bajaj Auto Ltd,.NS,BAJAJ-AUTO.NS,active,
BAJFINANCE,Bajaj Finance Ltd,.NS,BAJFINANCE.NS,active,
BAJAJFINSV,Bajaj Finserv Ltd,.NS,BAJAJFINSV.NS,active,
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,.NS,BAJAJHLDNG.NS,active,
BAJAJHFL,Bajaj Housing Finance Ltd,.NS,BAJAJHFL.NS,active,Short history (listed Sep 2024)
BANKBARODA,Bank of Baroda,.NS,BANKBARODA.NS,active,
BEL,Bharat Electronics Ltd,.NS,BEL.NS,active,
BPCL,Bharat Petroleum Corporation Ltd,.NS,BPCL.NS,active,
BHARTIARTL,Bharti Airtel Ltd,.NS,BHARTIARTL.NS,active,
BHEL,Bharat Heavy Electricals Ltd,.NS,BHEL.NS,active,
BOSCHLTD,Bosch Ltd,.NS,BOSCHLTD.NS,active,
BRITANNIA,Britannia Industries Ltd,.NS,BRITANNIA.NS,active,
CANBK,Canara Bank,.NS,CANBK.NS,active,
CGPOWER,CG Power and Industrial Solutions Ltd,.NS,CGPOWER.NS,active,
